,Listing,Price,Address,Floor_space_m²
70,2 Bed Apartment in Oranjezicht,3 395 000,"Address: 26 leeuwendal, 3 derwent road",75
71,3 Bed Apartment in Oranjezicht,3 750 000,"Address: 6 marywin, 18 sir george grey st",167
72,2 Bed Apartment in Oranjezicht,3 495 000,"Address: 105 the cedar, 6 firdale avenue",63
73,2 Bed Penthouse in Oranjezicht,6 995 000,"Address: 303 the aster, 8 firdale avenue",123
74,4 Bed House in Oranjezicht,21 500 000,No Address,428
75,3 Bed House in Oranjezicht,3 850 000,Address: 6 flower street,95
76,1 Bed Apartment in Oranjezicht,1 900 000,No Address,50
77,1 Bed Apartment in Oranjezicht,2 250 000,No Address,66
78,1 Bed Apartment in Oranjezicht,1 200 000,Address: 513 hiddingh avenue,54
79,1 Bed Apartment in Oranjezicht,1 295 000,"Address: 205 the delaware, 10a annadale",57
80,Studio Apartment in Oranjezicht,1 690 000,"Address: gardens centre, 38 mill street",40
81,1 Bed Apartment in Oranjezicht,1 750 000,Address: 206 upper buitenkant,43
82,1 Bed Apartment in Oranjezicht,1 795 000,"Address: 75 hiddingh village, 411 hiddingh",53
83,1 Bed Apartment in Oranjezicht,1 895 000,Address: 164 upper buitenkant,52
84,1 Bed Apartment in Oranjezicht,1 895 000,"Address: 55 sutton place, 12 vriende street",45
85,1 Bed Apartment in Oranjezicht,1 995 000,"Address: 9 kassies court, 2 forest hill",61
86,1 Bed Apartment in Oranjezicht,2 195 000,"Address: 13 peacehaven, 8 culver st",71
87,2 Bed Apartment in Oranjezicht,2 250 000,"Address: 8 alison flats, 3 vriende street",100
88,2 Bed Apartment in Oranjezicht,2 395 000,"Address: 301 rus-in-urbe, 19 breda street",81
89,1 Bed Apartment in Oranjezicht,2 495 000,"Address: 106 the aster, 8 firdale avenue",40
90,2 Bed Apartment in Oranjezicht,2 750 000,"Address: 24 killarney mansions, 210 upper buitenkant street",79
91,2 Bed Apartment in Oranjezicht,2 800 000,"Address: 6 vriendezicht, 10 vriende street",88
92,1 Bed Apartment in Oranjezicht,Sold,"Address: 108 the aster, 8 firdale",124
93,2 Bed Apartment in Oranjezicht,2 950 000,"Address: 3 culvert gardens, 202 buitenkant",76
94,2 Bed Apartment in Oranjezicht,3 395 000,"Address: 26 leeuwendal, 3 derwent road",75
95,3 Bed Apartment in Oranjezicht,3 750 000,"Address: 6 marywin, 18 sir george grey st",167
96,2 Bed Apartment in Oranjezicht,3 495 000,"Address: 105 the cedar, 6 firdale avenue",63
97,2 Bed Penthouse in Oranjezicht,6 995 000,"Address: 303 the aster, 8 firdale avenue",123
98,4 Bed House in Oranjezicht,21 500 000,No Address,428
99,3 Bed House in Oranjezicht,3 850 000,Address: 6 flower street,95
100,1 Bed Apartment in Oranjezicht,1 900 000,No Address,50
101,1 Bed Apartment in Oranjezicht,2 250 000,No Address,66
102,1 Bed Apartment in Oranjezicht,1 200 000,Address: 513 hiddingh avenue,54
103,1 Bed Apartment in Oranjezicht,1 295 000,"Address: 205 the delaware, 10a annadale",57
104,Studio Apartment in Oranjezicht,1 690 000,"Address: gardens centre, 38 mill street",40
105,1 Bed Apartment in Oranjezicht,1 750 000,Address: 206 upper buitenkant,43
106,1 Bed Apartment in Oranjezicht,1 795 000,"Address: 75 hiddingh village, 411 hiddingh",53
107,1 Bed Apartment in Oranjezicht,1 895 000,Address: 164 upper buitenkant,52
108,1 Bed Apartment in Oranjezicht,1 895 000,"Address: 55 sutton place, 12 vriende street",45
109,1 Bed Apartment in Oranjezicht,1 995 000,"Address: 9 kassies court, 2 forest hill",61
110,1 Bed Apartment in Oranjezicht,2 195 000,"Address: 13 peacehaven, 8 culver st",71
111,2 Bed Apartment in Oranjezicht,2 250 000,"Address: 8 alison flats, 3 vriende street",100
112,2 Bed Apartment in Oranjezicht,2 395 000,"Address: 301 rus-in-urbe, 19 breda street",81
113,1 Bed Apartment in Oranjezicht,2 495 000,"Address: 106 the aster, 8 firdale avenue",40
114,2 Bed Apartment in Oranjezicht,2 750 000,"Address: 24 killarney mansions, 210 upper buitenkant street",79
115,2 Bed Apartment in Oranjezicht,2 800 000,"Address: 6 vriendezicht, 10 vriende street",88
116,1 Bed Apartment in Oranjezicht,Sold,"Address: 108 the aster, 8 firdale",124
117,2 Bed Apartment in Oranjezicht,2 950 000,"Address: 3 culvert gardens, 202 buitenkant",76
118,2 Bed Apartment in Oranjezicht,3 395 000,"Address: 26 leeuwendal, 3 derwent road",75
119,3 Bed Apartment in Oranjezicht,3 750 000,"Address: 6 marywin, 18 sir george grey st",167
120,2 Bed Apartment in Oranjezicht,3 495 000,"Address: 105 the cedar, 6 firdale avenue",63
121,2 Bed Penthouse in Oranjezicht,6 995 000,"Address: 303 the aster, 8 firdale avenue",123
122,4 Bed House in Oranjezicht,21 500 000,No Address,428
123,3 Bed House in Oranjezicht,3 850 000,Address: 6 flower street,95
124,1 Bed Apartment in Oranjezicht,1 900 000,No Address,50
125,1 Bed Apartment in Oranjezicht,2 250 000,No Address,66
126,1 Bed Apartment in Oranjezicht,1 200 000,Address: 513 hiddingh avenue,54
127,1 Bed Apartment in Oranjezicht,1 295 000,"Address: 205 the delaware, 10a annadale",57
128,Studio Apartment in Oranjezicht,1 690 000,"Address: gardens centre, 38 mill street",40
129,1 Bed Apartment in Oranjezicht,1 750 000,Address: 206 upper buitenkant,43
130,1 Bed Apartment in Oranjezicht,1 795 000,"Address: 75 hiddingh village, 411 hiddingh",53
131,1 Bed Apartment in Oranjezicht,1 895 000,Address: 164 upper buitenkant,52
132,1 Bed Apartment in Oranjezicht,1 895 000,"Address: 55 sutton place, 12 vriende street",45
133,1 Bed Apartment in Oranjezicht,1 995 000,"Address: 9 kassies court, 2 forest hill",61
134,1 Bed Apartment in Oranjezicht,2 195 000,"Address: 13 peacehaven, 8 culver st",71
135,2 Bed Apartment in Oranjezicht,2 250 000,"Address: 8 alison flats, 3 vriende street",100
