,Listing,Price,Address,Floor_space_m²
136,2 Bed Apartment in Oranjezicht,2 395 000,"Address: 301 rus-in-urbe, 19 breda street",81
137,1 Bed Apartment in Oranjezicht,2 495 000,"Address: 106 the aster, 8 firdale avenue",40
138,2 Bed Apartment in Oranjezicht,2 750 000,"Address: 24 killarney mansions, 210 upper buitenkant street",79
139,2 Bed Apartment in Oranjezicht,2 800 000,"Address: 6 vriendezicht, 10 vriende street",88
140,1 Bed Apartment in Oranjezicht,Sold,"Address: 108 the aster, 8 firdale",124
141,2 Bed Apartment in Oranjezicht,2 950 000,"Address: 3 culvert gardens, 202 buitenkant",76
142,2 Bed Apartment in Oranjezicht,3 395 000,"Address: 26 leeuwendal, 3 derwent road",75
143,3 Bed Apartment in Oranjezicht,3 750 000,"Address: 6 marywin, 18 sir george grey st",167
144,2 Bed Apartment in Oranjezicht,3 495 000,"Address: 105 the cedar, 6 firdale avenue",63
145,2 Bed Penthouse in Oranjezicht,6 995 000,"Address: 303 the aster, 8 firdale avenue",123
146,4 Bed House in Oranjezicht,21 500 000,No Address,428
147,3 Bed House in Oranjezicht,3 850 000,Address: 6 flower street,95
148,1 Bed Apartment in Oranjezicht,1 900 000,No Address,50
149,1 Bed Apartment in Oranjezicht,2 250 000,No Address,66
150,1 Bed Apartment in Oranjezicht,1 200 000,Address: 513 hiddingh avenue,54
151,1 Bed Apartment in Oranjezicht,1 295 000,"Address: 205 the delaware, 10a annadale",57
152,Studio Apartment in Oranjezicht,1 690 000,"Address: gardens centre, 38 mill street",40
153,1 Bed Apartment in Oranjezicht,1 750 000,Address: 206 upper buitenkant,43
154,1 Bed Apartment in Oranjezicht,1 795 000,"Address: 75 hiddingh village, 411 hiddingh",53
155,1 Bed Apartment in Oranjezicht,1 895 000,Address: 164 upper buitenkant,52
156,1 Bed Apartment in Oranjezicht,1 895 000,"Address: 55 sutton place, 12 vriende street",45
157,1 Bed Apartment in Oranjezicht,1 995 000,"Address: 9 kassies court, 2 forest hill",61
158,1 Bed Apartment in Oranjezicht,2 195 000,"Address: 13 peacehaven, 8 culver st",71
159,2 Bed Apartment in Oranjezicht,2 250 000,"Address: 8 alison flats, 3 vriende street",100
160,2 Bed Apartment in Oranjezicht,2 395 000,"Address: 301 rus-in-urbe, 19 breda street",81
161,1 Bed Apartment in Oranjezicht,2 495 000,"Address: 106 the aster, 8 firdale avenue",40
162,2 Bed Apartment in Oranjezicht,2 750 000,"Address: 24 killarney mansions, 210 upper buitenkant street",79
163,2 Bed Apartment in Oranjezicht,2 800 000,"Address: 6 vriendezicht, 10 vriende street",88
164,1 Bed Apartment in Oranjezicht,Sold,"Address: 108 the aster, 8 firdale",124
165,2 Bed Apartment in Oranjezicht,2 950 000,"Address: 3 culvert gardens, 202 buitenkant",76
166,2 Bed Apartment in Oranjezicht,3 395 000,"Address: 26 leeuwendal, 3 derwent road",75
167,3 Bed Apartment in Oranjezicht,3 750 000,"Address: 6 marywin, 18 sir george grey st",167
