,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
28,3 Bed House in Oranjezicht,5995000, 4 jagersfontein lane,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/4-jagersfontein-lane/T3288778,217,3, Oranjezicht
29,3 Bed House in Oranjezicht,6555000, 6 kotze street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/6-kotze-street/T3025311,248,3, Oranjezicht
30,5 Bed House in Oranjezicht,6595000, 17 welgemeend street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/17-welgemeend-street/T3386854,410,5, Oranjezicht
31,3 Bed House in Oranjezicht,6750000, 43 upper orange street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/43-upper-orange-street/T3312629,218,3, Oranjezicht
32,4 Bed House in Oranjezicht,9950000, 1a marmion road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/1a-marmion-road/T3451412,350,4, Oranjezicht
33,2 Bed Penthouse in Oranjezicht,12495000," 501 the cedar, 6 firdale avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/501-the-cedar/6-firdale-avenue/T2643948,152,2, Oranjezicht
34,4 Bed House in Oranjezicht,14495000, 21 rosmead avenue,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/21-rosmead-avenue/T3321094,966,4, Oranjezicht
35,4 Bed House in Oranjezicht,20500000, 17a alexandra avenue,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/17a-alexandra-avenue/T3286431,949,4, Oranjezicht
36,6 Bed House in Oranjezicht,29750000, 6 marmion road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/6-marmion-road/T2196389,1200,6, Oranjezicht
37,5 Bed House in Oranjezicht,52000000, 5 lincoln road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/5-lincoln-road/T3383439,3415,5, Oranjezicht
38,5 Bed House in Oranjezicht,79995000, 21 rugby road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/21-rugby-road/T3314133,3195,5, Oranjezicht
39,Studio Apartment in Oranjezicht,1450000," 1008 gardens centre, mill street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/1008-gardens-centre/mill-street/T2651505,40,Studio, Oranjezicht
40,1 Bed Apartment in Oranjezicht,1850000, 28 breda street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/28-breda-street/T3413132,54,1, Oranjezicht
41,1 Bed Apartment in Oranjezicht,1895000," 3 westfield, 27 schoonder",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/3-westfield/27-schoonder/T3368859,65,1, Oranjezicht
42,1 Bed Apartment in Oranjezicht,1975000," 15 chapmill, 11 st quintons rd (cl)",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/15-chapmill/11-st-quintons-rd-cl/T3101053,903,1, Oranjezicht
44,4 Bed House in Oranjezicht,9750000, 12a rosmead avenue,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/12a-rosmead-avenue/T3443792,265,4, Oranjezicht
45,4 Bed House in Oranjezicht,20500000, 17a alexandra avenue,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/17a-alexandra-avenue/T3286108,949,4, Oranjezicht
46,1 Bed Apartment in Oranjezicht,1350000," 20 kassies court, 20 forest hill avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/20-kassies-court/20-forest-hill-avenue/T3466815,43,1, Oranjezicht
47,1 Bed Apartment in Oranjezicht,1795000," 75 hiddingh village, 411 513 hiddingh avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/75-hiddingh-village/411-513-hiddingh-avenue/T3411335,53,1, Oranjezicht
