,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
879,3 Bed Apartment in Rondebosch,2095000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3350635,119,3, Rondebosch
880,3 Bed Apartment in Kenilworth Upper,2099000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3281775,152,3, Kenilworth Upper
881,3 Bed Apartment in Kenilworth,2099000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3250600,152,3, Kenilworth
882,2 Bed Apartment in Kenilworth Upper,2100000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3434753,124,2, Kenilworth Upper
883,4 Bed House in Lansdowne,2100000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3422679,497,4, Lansdowne
884,2 Bed House in Tokai,2100000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/tokai/T3418217,65,2, Tokai
885,3 Bed Townhouse in Kenilworth,2100000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3410348,204,3, Kenilworth
886,3 Bed House in Plumstead,2100000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3374511,148,3, Plumstead
887,2 Bed Apartment in Claremont Upper,2100000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3165811,82,2, Claremont Upper
888,1 Bed Apartment in Rondebosch,2100000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3034891,60,1, Rondebosch
889,3 Bed House in Heathfield,2149000, 2 elstree road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/2-elstree-road/T3368377,100,3, Heathfield
890,2 Bed House in Bergvliet,2150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/bergvliet/T3482911,221,2, Bergvliet
891,3 Bed House in Harfield Village,2150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/T3464426,157,3, Harfield Village
892,3 Bed House in Rosebank,2150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/T3435260,143,3, Rosebank
894,3 Bed Apartment in Rondebosch,2150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3409265,96,3, Rondebosch
895,2 Bed Apartment in Rondebosch,2150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3311073,94,2, Rondebosch
896,2 Bed House in Pinelands,2150000," a205 pinelands grove, 17 sunrise road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/pinelands/a205-pinelands-grove/17-sunrise-road/T3294641,63,2, Pinelands
897,2 Bed Apartment in Rondebosch,2150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T2872903,70,2, Rondebosch
898,2 Bed Apartment in Wynberg Upper,2177000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3390670,96,2, Wynberg Upper
899,3 Bed House in Rosebank,2195000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/T3480635,134,3, Rosebank
900,3 Bed House in Lansdowne,2195000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3465795,442,3, Lansdowne
901,2 Bed House in Kenilworth,2195000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3448565,120,2, Kenilworth
903,3 Bed Townhouse in Bergvliet,2195000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/bergvliet/T3416705,170,3, Bergvliet
905,3 Bed House in Heathfield,2199000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/T3465510,459,3, Heathfield
906,3 Bed House in Heathfield,2199000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/T3397083,461,3, Heathfield
907,3 Bed House in Heathfield,2199000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/T3396563,95,3, Heathfield
908,2 Bed Apartment in Rondebosch,2199000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3337918,75,2, Rondebosch
909,3 Bed Duplex in Claremont,2200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3466526,144,3, Claremont
910,3 Bed Apartment in Kenilworth Upper,2200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3440495,108,3, Kenilworth Upper
911,3 Bed Townhouse in Claremont,2200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3400496,144,3, Claremont
912,3 Bed Apartment in Kenilworth Upper,2200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3355524,135,3, Kenilworth Upper
913,2 Bed Apartment in Newlands,2200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/newlands/T3310986,83,2, Newlands
914,2 Bed Apartment in Kenilworth Upper,2200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3264672,100,2, Kenilworth Upper
